title:,id,layers,version,name,description,category,aspect,back,colour,action,comment
card:,HorizonRRI_E_StakeholderInput,face,2022-08-01,Stakeholder Input,How do stakeholders shape the product? Are a wide range of stakeholders’ views considered?,Engage,Product,Engage,#a8cf8c,"Employ human-centred design methods such as interviews, focus groups and workshops.; Convene a user/stakeholder panel or advisory group.",
card:,HorizonRRI_E_StakeholderInvolvement,face,2022-08-01,Stakeholder Involvement,Can non-researchers directly influence project decisions? Or shape the research agenda?,Engage,Process,Engage,#a8cf8c,Involve stakeholders when defining research questions and methods.; Give stakeholder substantive research roles (with support).; Involve stakeholders in project decision-making.,
card:,HorizonRRI_E_HardToReach,face,2022-08-01,Hard to Reach,"Who is excluded, ignored or discounted? How can they be reached and included? Can anyone else can represent them? ",Engage,People,Engage,#a8cf8c,Consider specialist support in recruitment.; Work with specialist organisations.,Arguably a second Engage – Product card (I don't have a clear concept for engage-people)
back:,back:Engage,back,Version 2.1 (August 2022),High-level RRI Self-assessment Cards,,Engage,,,#a8cf8c,,
card:,HorizonRRI_Act_ShapingPolicy,face,2022-08-01,Shaping Policy,How can we ensure that the future is desirable? How can we contribute to regulation & legislation?,Act,Purpose,Act,#8ca8d9,Respond to requests for evidence.; Plan an impact campaign.,
card:,HorizonRRI_Act_OpenScience ,face,2022-08-01,Open Science,How do we contribute to open science? Are publications open access? Is anonymous data in public respositories?,Act,Product,Act,#8ca8d9,Check local open access policies and support.; Plan for open access at the start of paper writing.; Deposit anonymous data in open repositories.,
card:,HorizonRRI_Act_OrganisationalChange ,face,2022-08-01,Organisational Change,How can our research structures become more flexible? What infrastructure is required?,Act,Process,Act,#8ca8d9,"Raise issues and ideas at an appropriate level, e.g. PI, Department, University Committee.; Share resources and ideas with peers.",
card:,HorizonRRI_Act_Training,face,2022-08-01,Training,What training is required?,Act,People,Act,#8ca8d9,Draw on existing training opportunities.; Buy in specialist training.,
card:,HorizonRRI_Act_ScienceEducation,face,2022-08-01,Science Education,How do we support science education?,Act,People,Act,#8ca8d9,Contribute to outreach to Schools.; Contribute to local science-related events.; Develop a specific education/outreach activity.,Separate internally focussed training from public science education (EU RI pillar) 
back:,back:Act,back,Version 2.1 (August 2022),High-level RRI Self-assessment Cards,,Act,,,#8ca8d9,,
card:,HorizonRRI_SA_Discuss,altface,2022-08-01,Discuss again later…,,Self-assess,,Selfassessment,#000000,,Part of board
card:,HorizonRRI_SA_MostImportantTodo,altface,2022-08-01,Most important; we need to plan something!,,Self-assess,,Selfassessment,#000000,,Part of board
card:,HorizonRRI_SA_MostImportantDone,altface,2022-08-01,"Most important, but already sorted",,Self-assess,,Selfassessment,#000000,,Part of board
card:,HorizonRRI_SA_LessImportant,altface,2022-08-01,Less important,,Self-assess,,Selfassessment,#000000,,Part of board
back:,back:Selfassessment,"altback,back",Version 2.1 (August 2022),High-level RRI Self-assessment Cards,,Self-assess,,,#000000,,Part of board
