Id,Label,CARD USAGE COUNT,DECK,Category,PLAYING CARD EQUIVALENCY,TITLE NOSPACE,Name,Description,CARD_IMAGE_FRONT,CARD_IMAGE_BACK,CARD_MIRO_NAME
Moral-IT_Security_A_Ace,Security Ace,1,Moral-IT,Security,A,Ace,Ace,What's the most embarassing things about your technology? Would you change it now? Why?,2019_ACE_Security,6_Card_Backssecurity,Moral-IT_Security_A_Ace
Moral-IT_Security_2_IdentitiesManagement ,Identities Management ,8,Moral-IT,Security,2,IdentitiesManagement ,Identities Management ,Does your technology enable citizens to hold & manage multiple identities?,1_Security_Cards,6_Card_Backssecurity,Moral-IT_Security_2_IdentitiesManagement 
Moral-IT_Security_3_Obfuscation,Obfuscation,11,Moral-IT,Security,3,Obfuscation,Obfuscation,How does your technology protect people's identities? Does it use anonymisation or pseudonymisation techniques?,1_Security_Cards3,6_Card_Backssecurity,Moral-IT_Security_3_Obfuscation
Moral-IT_Security_4_Secrecy,Secrecy,8,Moral-IT,Security,4,Secrecy,Secrecy,Does your technology keep secrets? From whom? Why? Should it?,1_Security_Cards4,6_Card_Backssecurity,Moral-IT_Security_4_Secrecy
Moral-IT_Security_5_Trustworthiness,Trustworthiness,16,Moral-IT,Security,5,Trustworthiness,Trustworthiness,"How does your technology create trustworthy, secure relationships with users?",1_Security_Cards5,6_Card_Backssecurity,Moral-IT_Security_5_Trustworthiness
Moral-IT_Security_6_Confidentiality,Confidentiality,13,Moral-IT,Security,6,Confidentiality,Confidentiality,"How does confidentiality feature in your technology? Does it use methods such as encryption, by default?",1_Security_Cards6,6_Card_Backssecurity,Moral-IT_Security_6_Confidentiality
Moral-IT_Security_7_UsableSecurity ,Usable Security ,13,Moral-IT,Security,7,UsableSecurity ,Usable Security ,Are the security mechanisms in your technology intuitive to use & easy to understand? How & for whom?,1_Security_Cards7,6_Card_Backssecurity,Moral-IT_Security_7_UsableSecurity 
Moral-IT_Security_8_Resilience&amp;LowRedundancy,Resilience & Low Redundancy,9,Moral-IT,Security,8,Resilience&LowRedundancy,Resilience & Low Redundancy,Is your technology robust to unforeseen vulnerabilities? Can it maintain optimal service when challenged?,1_Security_Cards8,6_Card_Backssecurity,Moral-IT_Security_8_Resilience&LowRedundancy
Moral-IT_Security_9_DataBreachManagement ,Data Breach Management ,0,Moral-IT,Security,9,DataBreachManagement ,Data Breach Management ,How does your technology manage security breaches? Can it notify users & regulators within 72 hours?,1_Security_Cards9,6_Card_Backssecurity,Moral-IT_Security_9_DataBreachManagement 
Moral-IT_Security_10_PhysicalSafety,Physical Safety,13,Moral-IT,Security,10,PhysicalSafety,Physical Safety,How does your technology affect the physical safety of users?,1_Security_Cards10,6_Card_Backssecurity,Moral-IT_Security_10_PhysicalSafety
Moral-IT_Security_J_Attribution&amp;Responsibility,Attribution and Responsibility,6,Moral-IT,Security,J,Attribution&Responsibility,Attribution and Responsibility,Can all the harmful effects of your technology be clearly attributed to it? Should they be?,1_Security_CardsJ,6_Card_Backssecurity,Moral-IT_Security_J_Attribution&Responsibility
Moral-IT_Security_Q_Integrity ,Integrity ,7,Moral-IT,Security,Q,Integrity ,Integrity ,Is your technology honest? Can people rely on it?  ,1_Security_CardsQ,6_Card_Backssecurity,Moral-IT_Security_Q_Integrity 
Moral-IT_Security_K_SecureforWhom,Secure for Whom,5,Moral-IT,Security,K,SecureforWhom,Secure for Whom,Is security equally available to all people impacted by your technology? How? ,1_Security_CardsK,6_Card_Backssecurity,Moral-IT_Security_K_SecureforWhom
Moral-IT_Security_B_BlankCard1,Security Blank Card,,Moral-IT,Security,B,BlankCard,Blank Card,,1_Security_CardsB,6_Card_Backssecurity,Moral-IT_Security_B_BlankCard
Moral-IT_Law_A_Ace,Law Ace,2,Moral-IT,Law,A,Ace,Ace,How can your technology embody human virtues?,ACE_LAW_2019,6_Card_Backslaw,Moral-IT_Law_A_Ace
Moral-IT_Law_2_EnvironmentalProtection  ,Environmental Protection  ,3,Moral-IT,Law,2,EnvironmentalProtection  ,Environmental Protection  ,Is your technology environmentally sustainable now & in the future? Can you explain how?,2_Legal_Cards2,6_Card_Backslaw,Moral-IT_Law_2_EnvironmentalProtection  
Moral-IT_Law_3_Accessibility,Accessibility,17,Moral-IT,Law,3,Accessibility,Accessibility,Can your technology be reasonably adjusted to ensure it can be used by as many people as possible? How?,2_Legal_Cards3,6_Card_Backslaw,Moral-IT_Law_3_Accessibility
Moral-IT_Law_4_ConsumerProtection ,Consumer Protection ,9,Moral-IT,Law,4,ConsumerProtection ,Consumer Protection ,Does your technology protect people from unfair commercial behaviours causing harm or discrimination? How could it?,2_Legal_Cards4,6_Card_Backslaw,Moral-IT_Law_4_ConsumerProtection 
Moral-IT_Law_5_RuleofLaw ,Rule of Law ,6,Moral-IT,Law,5,RuleofLaw ,Rule of Law ,is everyone subject to the same rules when using your technology? Are they aware of these? ,2_Legal_Cards5,6_Card_Backslaw,Moral-IT_Law_5_RuleofLaw 
Moral-IT_Law_6_DueProcess ,Due Process ,5,Moral-IT,Law,6,DueProcess ,Due Process ,"How does your technology avoid enabling arbitrary decisions? Does it follow a clear, justifiable decision making process? ",2_Legal_Cards6,6_Card_Backslaw,Moral-IT_Law_6_DueProcess 
Moral-IT_Law_7_RiskMinimisation ,Risk Minimisation ,10,Moral-IT,Law,7,RiskMinimisation ,Risk Minimisation ,What steps have you taken to address the biggest risks arising from your technology?,2_Legal_Cards7,6_Card_Backslaw,Moral-IT_Law_7_RiskMinimisation 
Moral-IT_Law_8_Liability,Liability,11,Moral-IT,Law,8,Liability,Liability,What are the foreseeable harmful effects created by your technology? Who is responsible for these?,2_Legal_Cards8,6_Card_Backslaw,Moral-IT_Law_8_Liability
Moral-IT_Law_9_Proportionality ,Proportionality ,2,Moral-IT,Law,9,Proportionality ,Proportionality ,Are your responses to risks appropriate? Do they go too far or not far enough?,2_Legal_Cards9,6_Card_Backslaw,Moral-IT_Law_9_Proportionality 
Moral-IT_Law_10_PrecautionaryPrinciple,Precautionary Principle,2,Moral-IT,Law,10,PrecautionaryPrinciple,Precautionary Principle,"Appraising future risks of your technology, should you still proceed i.e ""Just because you can, should you?""",2_Legal_Cards10,6_Card_Backslaw,Moral-IT_Law_10_PrecautionaryPrinciple
2_Legal_CardsJ,Duty of Care,20,Moral-IT,Law,J,DutyofCare,Duty of Care,Does your technology provide reasonable care for the wellbeing of citizens? How?,2_Legal_CardsJ,6_Card_Backslaw,Moral-IT_Law_J_DutyofCare
2_Legal_CardsQ,Intellectual Property,2,Moral-IT,Law,Q,IntellectualProperty,Intellectual Property,"Does your technology respect or challenge IP interests of others, incl. trademarks, copyrights, patents & design rights? How?",2_Legal_CardsQ,6_Card_Backslaw,Moral-IT_Law_Q_IntellectualProperty
2_Legal_CardsK,Criminality,6,Moral-IT,Law,K,Criminality,Criminality,"How does your technology manage use in undesirable, socially unacceptable or criminal applications?",2_Legal_CardsK,6_Card_Backslaw,Moral-IT_Law_K_Criminality
Moral-IT_Law_B_BlankCard1,Law Blank Card,0,Moral-IT,Law,B,BlankCard,Blank Card,,2_Legal_CardsB,6_Card_Backslaw,Moral-IT_Law_B_BlankCard
Moral-IT_Narrative__Stakeholders1,Stakeholders,0,Moral-IT,Narrative,,Stakeholders,Stakeholders,List three direct or indirect stakeholders impacted by your technology,5_Fiction_CardsStakeholders,6_Card_Backsnarrative,Moral-IT_Narrative__Stakeholders
Moral-IT_Narrative__Safeguards1,Safeguards,0,Moral-IT,Narrative,,Safeguards,Safeguards,List two safeguardss that address the risks posed by your technology. Also provide two practical constraints to implementing these.,5_Fiction_Cardssafeguards,6_Card_Backsnarrative,Moral-IT_Narrative__Safeguards
Moral-IT_Narrative__UseCase1,Use Case,0,Moral-IT,Narrative,,UseCase,Use Case,Reflect on two contexts of use for your technology. Describe them below.,5_Fiction_Cardsusecase,6_Card_Backsnarrative,Moral-IT_Narrative__UseCase
Moral-IT_Narrative__TheTechnology1,The Technology ,0,Moral-IT,Narrative,,TheTechnology ,The Technology ,Briefly describe what your technology is and how it works,5_Fiction_Cardstehtechnology,6_Card_Backsnarrative,Moral-IT_Narrative__TheTechnology 
Moral-IT_Narrative__SurfacingRisks1,Surfacing Risks,0,Moral-IT,Narrative,,SurfacingRisks,Surfacing Risks,List the three biggest risks your technology poses.,5_Fiction_Cardssurfacingrisk,6_Card_Backsnarrative,Moral-IT_Narrative__SurfacingRisks
Moral-IT_Narrative__StateoftheArt1,State of the Art,0,Moral-IT,Narrative,,StateoftheArt,State of the Art,"Are there any new technical approaches underpinning your technology? Consider these, if they are riskier than current approaches and list two reasons why.",5_Fiction_Cardsstateoftheart,6_Card_Backsnarrative,Moral-IT_Narrative__StateoftheArt
